weight;word;color;url
1659;<director, subject, Film_producers_from_New_York_(state)>;;
1048;<starring, subject, American_women_television_producers>;;
2198;<starring, subject, American_women_film_producers>;;
2510;<music, subject, Living_people>;;
1114;<starring, subject, Outstanding_Performance_by_a_Female_Actor_in_a_Miniseries_or_Television_Movie_Screen_Actors_Guild_Award_winners>;;
1247;<starring, subject, American_television_directors>;;
2108;<director, subject, American_television_directors>;;
1227;<starring, subject, Best_Miniseries_or_Television_Movie_Actress_Golden_Globe_winners>;;
1685;<director, subject, Film_directors_from_New_York_City>;;
6704;<starring, subject, American_film_producers>;;
1487;<subject, 1995_films>;;
286;<extra, genre, Rhythm_and_blues>;;
373;<productionCompany, industry, Motion_picture>;;
411;<extra, label, Warner_Records>;;
1786;<extra, subject, Living_people>;;
599;<director, birthPlace, The_Bronx,_New_York>;;
229;<extra, subject, American_pop_singers>;;
795;<starring, subject, American_women_film_directors>;;
853;<extra, recordLabel, Warner_Bros._Records>;;
379;<extra, subject, Columbia_Records_artists>;;
720;<studio, parent, Walt_Disney_Studios_(division)>;;
393;<extra, subject, Grammy_Award_winners>;;
361;<starring, subject, American_women_comedians>;;
493;<productionCompany, parent, Walt_Disney_Studios_(division)>;;
1816;<writer, subject, American_male_film_actors>;;
161;<studio, industry, Motion_picture>;;
537;<writer, subject, Writers_from_New_York_City>;;
57;<title, type, Single_(music)>;;
57;<title, musicType, Single_(music)>;;
1011;<extra, recordLabel, Columbia_Records>;;
464;<starring, subject, Television_producers_from_New_York_City>;;
2293;<director, occupation, Film_producer>;;
166;<starring, subject, Women_company_founders>;;
753;<starring, subject, Outstanding_Performance_by_a_Lead_Actress_in_a_Miniseries_or_Movie_Primetime_Emmy_Award_winners>;;
1066;<productionCompany, subject, Companies_based_in_Los_Angeles>;;
416;<producer, subject, Film_directors_from_New_York_City>;;
173;<director, subject, American_Jews>;;
2474;<subject, core#broader, Films_by_American_directors>;;
4117;<writer, subject, Living_people>;;
2455;<subject, core#broader, Films_set_in_the_United_States_by_city>;;
2180;<starring, subject, Best_Drama_Actress_Golden_Globe_(film)_winners>;;
4794;<subject, core#broader, Films_by_American_producers>;;
2501;<rev, AllMusic>;;
617;<subject, Films_about_psychiatry>;;
2248;<director, Richard_Donner>;;
1080;<subject, Films_directed_by_Richard_Donner>;;
40;<title, subject, 1968_singles>;;
437;<title, genre, Pop_music>;;
1103;<rev, author, Michael_Erlewine>;;
426;<editing, subject, Place_of_birth_missing_(living_people)>;;
1216;<extra, genre, Pop_music>;;
209;<extra, genre, New_wave_music>;;
16;<writer, subject, Gay_musicians>;;
74;<writer, label, Columbia_Records>;;
1132;<rev, owner, RhythmOne>;;
57;<writer, subject, Warner_Records_artists>;;
557;<productionCompany, headquarter, Walt_Disney_Studios_(Burbank)>;;
470;<title, label, Columbia_Records>;;
682;<extra, recordLabel, Capitol_Records>;;
74;<extra, label, Mercury_Records>;;
50;<title, genre, Soul_music>;;
3201;<extra, genre, Alternative_rock>;;
44;<extra, subject, Feminist_musicians>;;
250;<starring, subject, American_music_video_directors>;;
51;<writer, recordLabel, Mercury_Records>;;
5790;<distributor, subject, Film_distributors_of_the_United_States>;;
1390;<extra, genre, Rock_music>;;
142;<extra, subject, Warner_Records_artists>;;
16;<title, format, Cassette_single>;;
33;<title, genre, Country_music>;;
27;<writer, recordLabel, Warner_Bros._Records>;;
743;<director, subject, Male_actors_from_New_York_City>;;
16;<writer, subject, Jewish_American_songwriters>;;
185;<extra, subject, 20th-century_American_women_singers>;;
200;<writer, occupation, Record_producer>;;
38;<writer, subject, 1943_births>;;
5210;<distributor, subject, Entertainment_companies_based_in_California>;;
558;<rev, depiction, Wordmark_of_AllMusic_(2013).png>;;
57;<title, label, RCA_Records>;;
99;<writer, subject, 20th-century_American_singers>;;
67;<writer, subject, 1956_births>;;
558;<rev, logo, Logo_of_AllMusic_(2013).png>;;
541;<rev, currentStatus, Online_and_offline>;;
400;<extra, recordLabel, Mercury_Records>;;
